food_code,main_food_description,wweia_category_description,energy_(kcal),protein_(g),carbohydrate_(g),"sugars,_total_(g)","fiber,_total_dietary_(g)",total_fat_(g),"fatty_acids,_total_saturated_(g)","fatty_acids,_total_monounsaturated_(g)","fatty_acids,_total_polyunsaturated_(g)",cholesterol_(mg)
26319123,"Shrimp, grilled",Shellfish,110,17.26,1.16,0.0,0.0,3.55,0.924,1.034,1.024,162
26319130,"Shrimp, steamed or boiled",Shellfish,90,17.19,1.15,0.0,0.0,1.28,0.33,0.229,0.373,159
26319140,"Shrimp, fried",Shellfish,218,12.26,12.41,0.2,0.5,12.94,1.861,5.186,4.848,102
26319160,"Shrimp, baked or broiled, coated",Shellfish,154,15.55,8.74,0.14,0.3,5.91,1.526,1.861,1.698,140
26319170,"Shrimp, dried",Shellfish,250,51.05,0.0,0.0,0.0,3.4,0.47,0.27,1.71,630
26319180,"Shrimp, canned",Shellfish,100,20.42,0.0,0.0,0.0,1.36,0.188,0.108,0.684,252
26321110,Escargot,Shellfish,158,19.99,2.48,0.0,0.0,6.91,1.14,2.514,2.3,62
27100100,"Barbecue meat, NFS",Meat mixed dishes,226,18.14,12.23,9.97,0.3,11.17,4.02,4.934,1.394,65
27111000,Beef with tomato-based sauce,Meat mixed dishes,149,21.72,1.58,1.06,0.4,6.36,2.391,2.686,0.292,63
27111200,Beef burgundy,Meat mixed dishes,148,18.48,4.19,1.45,0.8,6.0,1.77,2.487,0.933,52
27111300,"Guisada, beef",Meat mixed dishes,115,10.85,2.52,0.63,0.5,6.62,2.55,2.927,0.237,36
27111400,"Chili, NFS",Meat mixed dishes,118,9.8,10.25,1.48,3.0,4.33,1.617,1.84,0.282,22
27111405,"Chili with meat, from restaurant",Meat mixed dishes,160,12.04,6.68,1.39,1.9,9.35,2.853,4.041,1.41,34
27111406,Chili with meat and beans,Meat mixed dishes,118,9.8,10.25,1.48,3.0,4.33,1.617,1.84,0.282,22
27111407,"Chili with meat, canned",Meat mixed dishes,106,8.5,10.82,1.43,3.2,3.38,1.244,1.41,0.256,17
27111420,Chili with meat,Meat mixed dishes,139,13.32,2.41,1.37,0.5,8.22,3.164,3.634,0.323,44
27111500,"Sloppy joe, no bun",Meat mixed dishes,140,12.06,5.48,3.81,0.7,7.63,2.91,3.375,0.252,39
27112000,Beef with gravy,Meat mixed dishes,156,21.56,1.58,0.09,0.0,7.05,2.568,2.977,0.377,64
27112010,Salisbury steak with gravy,Meat mixed dishes,149,6.98,6.78,0.26,1.0,10.47,3.982,4.798,1.483,33
