food_code,main_food_description,wweia_category_description,energy_(kcal),protein_(g),carbohydrate_(g),"sugars,_total_(g)","fiber,_total_dietary_(g)",total_fat_(g),"fatty_acids,_total_saturated_(g)","fatty_acids,_total_monounsaturated_(g)","fatty_acids,_total_polyunsaturated_(g)",cholesterol_(mg)
11100000,"Milk, NFS","Milk, reduced fat",52,3.33,4.83,4.88,0.0,2.14,1.249,0.458,0.07,9
11111000,"Milk, whole","Milk, whole",61,3.27,4.63,4.81,0.0,3.2,1.86,0.688,0.108,12
11112110,"Milk, reduced fat (2%)","Milk, reduced fat",50,3.36,4.9,4.89,0.0,1.9,1.11,0.4,0.058,8
11112210,"Milk, low fat (1%)","Milk, lowfat",43,3.38,5.18,4.96,0.0,0.95,0.568,0.21,0.032,5
11113000,"Milk, fat free (skim)","Milk, nonfat",34,3.43,4.92,5.05,0.0,0.08,0.049,0.017,0.006,3
11114300,"Milk, lactose free, low fat (1%)","Milk, lowfat",43,3.38,5.18,4.96,0.0,0.95,0.568,0.21,0.032,5
11114320,"Milk, lactose free, fat free (skim)","Milk, nonfat",34,3.43,4.92,5.05,0.0,0.08,0.049,0.017,0.006,3
11114330,"Milk, lactose free, reduced fat (2%)","Milk, reduced fat",50,3.36,4.9,4.89,0.0,1.9,1.11,0.4,0.058,8
11114350,"Milk, lactose free, whole","Milk, whole",61,3.27,4.63,4.81,0.0,3.2,1.86,0.688,0.108,12
11115300,Buttermilk,"Milk, whole",43,3.46,4.81,5.36,0.0,1.08,0.552,0.199,0.033,5
11115400,Kefir,"Milk, lowfat",52,3.59,7.48,6.91,0.0,0.96,0.596,0.286,0.047,5
11116000,Goat milk,"Milk, whole",69,3.56,4.45,4.45,0.0,4.14,2.667,1.109,0.149,11
11120000,"Milk, dry, reconstituted, nonfat","Milk, nonfat",32,3.2,4.6,4.6,0.0,0.07,0.044,0.018,0.003,2
11121100,"Milk, dry, reconstituted, whole","Milk, whole",76,4.01,5.86,5.86,0.0,4.08,2.554,1.209,0.101,15
11210050,"Milk, evaporated, NS as to fat content","Milk, whole",134,6.81,10.04,10.04,0.0,7.56,4.591,2.335,0.245,29
11211050,"Milk, evaporated, whole","Milk, whole",134,6.81,10.04,10.04,0.0,7.56,4.591,2.335,0.245,29
11211400,"Milk, evaporated, reduced fat (2%)","Milk, reduced fat",92,7.42,11.15,11.15,0.0,1.96,1.214,0.569,0.071,8
11212050,"Milk, evaporated, fat free (skim)","Milk, nonfat",78,7.55,11.35,11.35,0.0,0.2,0.121,0.062,0.006,4
11220000,"Milk, condensed, sweetened","Flavored milk, whole",321,7.91,54.4,54.4,0.0,8.7,5.486,2.427,0.337,34
11300100,"Non-dairy milk, NFS",Plant-based milk,31,1.14,3.04,2.03,0.1,1.6,0.159,0.782,0.509,0
11320000,"Soy milk, sweetened",Plant-based milk,53,3.41,5.22,4.53,0.0,2.05,0.301,0.399,1.104,0
11320100,"Soy milk, unsweetened",Plant-based milk,38,3.55,1.29,0.56,0.0,2.12,0.314,0.416,1.15,0
11321000,"Soy milk, chocolate",Plant-based milk,64,3.35,8.32,7.49,0.1,2.03,0.315,0.399,1.068,0
11350000,"Almond milk, sweetened",Plant-based milk,30,0.53,4.31,3.99,0.0,1.18,0.1,0.7,0.265,0
11350010,"Almond milk, chocolate",Plant-based milk,43,0.57,7.44,6.97,0.1,1.2,0.121,0.69,0.257,0
11350020,"Almond milk, unsweetened",Plant-based milk,15,0.55,0.34,0.0,0.0,1.22,0.104,0.729,0.276,0
11350040,"Almond milk, NFS",Plant-based milk,20,0.54,1.53,1.2,0.0,1.21,0.103,0.72,0.273,0
11360000,Rice milk,Plant-based milk,47,0.28,9.17,5.28,0.3,0.97,0.0,0.625,0.313,0
11360200,Oat milk,Plant-based milk,45,0.66,5.37,2.04,0.5,2.33,0.187,1.349,0.62,0
11370000,Coconut milk,Plant-based milk,31,0.21,2.92,2.5,0.0,2.08,2.083,0.0,0.0,0
11400000,"Yogurt, NFS","Yogurt, regular",94,6.67,10.22,8.05,0.1,2.87,1.626,0.665,0.254,11
11400010,"Yogurt, Greek, NS as to type of milk or flavor","Yogurt, Greek",91,9.11,10.78,8.21,0.1,1.33,0.715,0.329,0.047,7
11410000,"Yogurt, NS as to type of milk or flavor","Yogurt, regular",93,4.57,15.69,12.84,0.2,1.34,0.861,0.372,0.038,5
11411010,"Yogurt, NS as to type of milk, plain","Yogurt, regular",63,5.25,7.04,7.04,0.0,1.55,1.0,0.426,0.044,6
11411100,"Yogurt, whole milk, plain","Yogurt, regular",78,3.82,5.57,4.09,0.0,4.48,2.32,0.874,0.092,14
11411200,"Yogurt, low fat milk, plain","Yogurt, regular",63,5.25,7.04,7.04,0.0,1.55,1.0,0.426,0.044,6
11411300,"Yogurt, nonfat milk, plain","Yogurt, regular",50,4.23,8.08,7.68,0.0,0.09,0.116,0.049,0.005,3
11411390,"Yogurt, Greek, NS as to type of milk, plain","Yogurt, Greek",67,10.2,3.6,3.24,0.0,1.36,0.726,0.33,0.048,8
11411400,"Yogurt, Greek, whole milk, plain","Yogurt, Greek",94,8.78,4.75,3.25,0.0,4.39,2.39,0.958,0.469,17
11411410,"Yogurt, Greek, low fat milk, plain","Yogurt, Greek",67,10.2,3.6,3.24,0.0,1.36,0.726,0.33,0.048,8
11411420,"Yogurt, Greek, nonfat milk, plain","Yogurt, Greek",59,10.3,3.64,3.27,0.0,0.37,0.108,0.043,0.011,5
11430000,"Yogurt, NS as to type of milk, fruit","Yogurt, regular",93,4.57,15.69,12.84,0.2,1.34,0.861,0.372,0.038,5
11431000,"Yogurt, whole milk, fruit","Yogurt, regular",106,3.34,14.43,10.31,0.2,3.86,1.997,0.757,0.079,12
11432000,"Yogurt, low fat milk, fruit","Yogurt, regular",93,4.57,15.69,12.84,0.2,1.34,0.861,0.372,0.038,5
11433000,"Yogurt, nonfat milk, fruit","Yogurt, regular",46,3.64,7.64,7.09,0.0,0.08,0.1,0.043,0.004,3
11433990,"Yogurt, Greek, NS as to type of milk, fruit","Yogurt, Greek",91,9.11,10.78,8.21,0.1,1.33,0.715,0.329,0.047,7
11434000,"Yogurt, Greek, whole milk, fruit","Yogurt, Greek",114,7.85,11.8,8.23,0.1,3.91,2.128,0.857,0.417,15
11434010,"Yogurt, Greek, low fat milk, fruit","Yogurt, Greek",91,9.11,10.78,8.21,0.1,1.33,0.715,0.329,0.047,7
11434020,"Yogurt, Greek, nonfat milk, fruit","Yogurt, Greek",83,9.21,10.81,8.24,0.1,0.34,0.097,0.042,0.01,4
11434090,"Yogurt, NS as to type of milk, flavors other than fruit","Yogurt, regular",82,4.51,13.02,13.04,0.0,1.36,0.86,0.366,0.038,5
11434100,"Yogurt, whole milk, flavors other than fruit","Yogurt, regular",95,3.28,11.76,10.5,0.0,3.88,1.995,0.752,0.079,12
11434200,"Yogurt, low fat milk, flavors other than fruit","Yogurt, regular",82,4.51,13.02,13.04,0.0,1.36,0.86,0.366,0.038,5
11434300,"Yogurt, nonfat milk, flavors other than fruit","Yogurt, regular",47,3.64,7.94,7.6,0.0,0.08,0.1,0.042,0.004,3
11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit","Yogurt, Greek",81,9.07,8.18,7.87,0.0,1.34,0.714,0.325,0.047,7
11435010,"Yogurt, Greek, whole milk, flavors other than fruit","Yogurt, Greek",104,7.81,9.21,7.88,0.0,3.92,2.127,0.853,0.417,15
11435020,"Yogurt, Greek, low fat milk, flavors other than fruit","Yogurt, Greek",81,9.07,8.18,7.87,0.0,1.34,0.714,0.325,0.047,7
11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit","Yogurt, Greek",73,9.17,8.22,7.9,0.0,0.34,0.096,0.038,0.01,4
11435100,"Yogurt, Greek, with oats","Yogurt, Greek",149,9.22,20.02,10.74,1.5,3.67,0.838,1.608,0.775,6
11436000,"Yogurt, liquid","Yogurt, regular",74,3.65,12.55,10.27,0.1,1.07,0.689,0.298,0.03,4
11436100,Yogurt tube,"Yogurt, regular",81,4.34,13.68,11.4,0.1,1.03,0.671,0.29,0.03,5
11440010,"Chipotle dip, yogurt based","Dips, gravies, other sauces",189,7.93,3.33,2.97,0.0,15.99,3.219,3.638,8.716,16
11440030,"Onion dip, yogurt based","Dips, gravies, other sauces",160,6.82,4.06,3.38,0.2,12.91,2.726,2.933,6.866,14
11440040,"Ranch dip, yogurt based","Dips, gravies, other sauces",195,8.48,4.13,3.41,0.3,16.09,3.267,3.661,8.744,17
11440050,"Spinach dip, yogurt based","Dips, gravies, other sauces",159,7.02,3.59,3.04,0.3,12.96,2.734,2.931,6.893,14
11440060,Tzatziki dip,"Dips, gravies, other sauces",91,5.22,4.1,2.5,0.2,6.0,1.894,2.905,0.605,10
11440070,"Vegetable dip, yogurt based","Dips, gravies, other sauces",191,8.16,3.76,2.99,0.3,16.03,3.232,3.645,8.742,16
11446000,"Yogurt parfait, with fruit","Yogurt, regular",104,5.25,16.08,10.36,1.3,2.18,0.608,0.885,0.407,4
11459990,"Frozen yogurt, NFS",Ice cream and frozen dairy desserts,127,3.0,21.6,19.92,0.0,3.6,2.326,0.986,0.1,13
11460000,"Frozen yogurt, vanilla",Ice cream and frozen dairy desserts,127,3.0,21.6,19.92,0.0,3.6,2.326,0.986,0.1,13
11460100,"Frozen yogurt, chocolate",Ice cream and frozen dairy desserts,131,3.0,21.6,19.24,2.3,3.6,2.272,0.961,0.102,13
11460500,"Frozen yogurt, soft serve, vanilla",Ice cream and frozen dairy desserts,159,4.0,24.2,24.0,0.0,5.6,3.42,1.59,0.21,2
11460510,"Frozen yogurt, soft serve, chocolate",Ice cream and frozen dairy desserts,160,4.31,24.87,23.56,0.7,5.76,3.513,1.65,0.215,2
11461200,Frozen yogurt sandwich,Ice cream and frozen dairy desserts,204,3.9,34.38,24.3,0.8,6.25,2.805,1.956,1.113,10
11461210,"Frozen yogurt bar, vanilla",Ice cream and frozen dairy desserts,127,3.0,21.6,19.92,0.0,3.6,2.326,0.986,0.1,13
11461220,"Frozen yogurt bar, chocolate",Ice cream and frozen dairy desserts,131,3.0,21.6,19.24,2.3,3.6,2.272,0.961,0.102,13
11461250,"Frozen yogurt cone, chocolate",Ice cream and frozen dairy desserts,142,3.2,23.9,18.71,2.3,3.73,2.23,0.996,0.228,12
11461260,"Frozen yogurt cone, vanilla",Ice cream and frozen dairy desserts,139,3.2,23.9,19.36,0.1,3.73,2.282,1.02,0.227,12
11461300,"Frozen yogurt cone, vanilla, waffle cone",Ice cream and frozen dairy desserts,143,3.29,25.28,20.26,0.1,3.61,2.223,1.014,0.18,12
11461320,"Frozen yogurt cone, chocolate, waffle cone",Ice cream and frozen dairy desserts,147,3.29,25.28,19.62,2.3,3.61,2.172,0.991,0.181,12
11480000,"Baby Toddler food, NFS",Baby food: mixtures,75,4.9,9.08,4.47,1.1,2.15,0.601,0.877,0.504,18
11480010,"Baby Toddler yogurt, plain",Baby food: yogurt,78,3.82,5.57,4.09,0.0,4.48,2.32,0.874,0.092,14
11480100,"Baby Toddler yogurt, with fruit",Baby food: yogurt,98,3.48,11.9,8.53,0.1,4.04,2.089,0.79,0.083,13
11511000,"Chocolate milk, NFS","Flavored milk, lowfat",65,3.44,10.98,9.55,0.1,0.83,0.462,0.225,0.037,4
11511100,"Chocolate milk, whole","Flavored milk, whole",83,3.17,10.34,9.54,0.8,3.39,2.104,0.99,0.124,12
11511200,"Chocolate milk, reduced fat (2%)","Flavored milk, reduced fat",76,2.99,12.13,9.55,0.7,1.9,1.177,0.455,0.089,8
11511300,"Chocolate milk, fat free (skim)","Flavored milk, nonfat",67,3.39,13.46,8.39,0.0,0.0,0.0,0.0,0.0,2
11511400,"Chocolate milk, low fat (1%)","Flavored milk, lowfat",64,3.46,10.15,9.94,0.1,1.11,0.616,0.3,0.049,5
11511550,"Chocolate milk, reduced sugar, NFS","Flavored milk, lowfat",65,3.09,8.56,7.85,0.0,1.99,1.092,0.401,0.061,8
11512005,"Hot chocolate / cocoa, NFS","Flavored milk, lowfat",72,1.82,13.9,12.0,0.2,1.04,0.612,0.252,0.031,3
11512010,"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk","Flavored milk, reduced fat",91,2.73,16.53,15.18,0.0,1.54,0.903,0.325,0.047,7
11512020,"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk","Flavored milk, nonfat",78,2.79,16.55,15.31,0.0,0.06,0.04,0.014,0.005,2
11512030,"Hot chocolate / cocoa, made with non-dairy milk",Plant-based milk,76,0.93,15.02,12.85,0.1,1.3,0.129,0.636,0.414,0
11512100,"Hot chocolate / cocoa, with whipped cream","Flavored milk, reduced fat",101,2.7,16.25,14.92,0.0,2.8,1.623,0.584,0.103,10
11513380,"Chocolate milk, Nesquik, NS as to type of milk","Flavored milk, reduced fat",74,3.41,10.09,9.62,0.3,2.15,1.312,0.43,0.066,8
11513385,"Chocolate milk, Nesquik, made with non-dairy milk",Plant-based milk,54,1.35,8.41,6.94,0.4,1.64,0.289,0.734,0.478,0
11513801,"Chocolate milk, reduced sugar, whole","Flavored milk, whole",73,3.04,8.38,7.79,0.0,2.92,1.627,0.602,0.094,10
11513802,"Chocolate milk, reduced sugar, reduced fat (2%)","Flavored milk, reduced fat",63,3.11,8.62,7.86,0.0,1.78,0.971,0.35,0.051,7
11513803,"Chocolate milk, reduced sugar, low fat (1%)","Flavored milk, lowfat",57,3.13,8.87,7.92,0.0,0.95,0.497,0.184,0.028,4
11513804,"Chocolate milk, reduced sugar, fat free (skim)","Flavored milk, nonfat",49,3.18,8.64,8.0,0.0,0.19,0.043,0.015,0.005,3
11514100,"Hot chocolate / cocoa, dry mix, made with water","Flavored milk, nonfat",54,0.9,11.27,8.82,0.5,0.54,0.32,0.178,0.015,0
11514110,"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk","Flavored milk, reduced fat",97,3.81,15.51,13.06,0.5,2.18,1.281,0.525,0.066,7
11514130,"Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk","Flavored milk, nonfat",83,3.87,15.53,13.19,0.5,0.61,0.362,0.193,0.021,3
11514150,"Hot chocolate / cocoa, dry mix , made with non-dairy milk",Plant-based milk,81,1.88,13.9,10.58,0.6,1.92,0.458,0.855,0.456,0
11514160,"Hot chocolate / cocoa, dry mix, made with water, with whipped cream","Flavored milk, reduced fat",65,0.94,11.2,8.81,0.5,1.83,1.063,0.443,0.073,4
11514310,"Hot chocolate / cocoa, dry mix, reduced sugar, made with water","Flavored milk, nonfat",31,1.26,5.87,3.07,0.6,0.24,0.145,0.08,0.007,0
11514320,"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk","Flavored milk, reduced fat",77,4.35,10.37,7.56,0.6,1.99,1.164,0.447,0.06,7
11514325,"Hot chocolate / cocoa, reduced sugar, made with non-dairy milk",Plant-based milk,54,1.19,8.92,6.99,0.1,1.48,0.129,0.636,0.414,0
11514330,"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk","Flavored milk, reduced fat",69,2.99,10.44,9.31,0.0,1.73,0.903,0.325,0.047,7
11514340,"Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk","Flavored milk, nonfat",62,4.41,10.39,7.71,0.6,0.32,0.19,0.096,0.013,3
11514350,"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk","Flavored milk, nonfat",56,3.05,10.45,9.44,0.0,0.25,0.04,0.014,0.005,2
11514360,"Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk",Plant-based milk,59,2.31,8.66,4.94,0.7,1.72,0.291,0.798,0.475,0
11519040,"Strawberry milk, NFS","Flavored milk, reduced fat",65,3.2,8.54,8.45,0.0,2.06,1.2,0.44,0.067,8
11519050,"Strawberry milk, whole","Flavored milk, whole",86,3.03,11.79,11.68,0.0,2.97,1.719,0.636,0.1,11
11519105,"Strawberry milk, reduced fat (2%)","Flavored milk, reduced fat",71,3.16,10.7,10.46,0.0,1.8,1.042,0.375,0.054,8
11519200,"Strawberry milk, low fat (1%)","Flavored milk, lowfat",69,3.13,12.3,11.82,0.0,0.89,0.525,0.194,0.03,5
11519205,"Strawberry milk, fat free  (skim)","Flavored milk, nonfat",61,3.18,12.06,11.9,0.0,0.09,0.045,0.016,0.006,3
11519210,"Strawberry milk, reduced sugar","Flavored milk, lowfat",59,3.27,6.72,6.69,0.0,2.1,1.224,0.449,0.069,9
11526000,"Milk, malted","Flavored milk, reduced fat",66,3.19,8.64,7.81,0.0,2.05,1.195,0.438,0.067,8
11531000,Eggnog,Milk shakes and other dairy drinks,88,4.55,8.05,8.05,0.0,4.19,2.591,1.302,0.198,59
11541110,"Milk shake, home recipe, chocolate",Milk shakes and other dairy drinks,120,3.47,13.53,12.57,0.5,6.14,3.725,1.64,0.222,20
11541120,"Milk shake, home recipe, flavors other than chocolate",Milk shakes and other dairy drinks,113,3.35,11.39,10.66,0.2,5.98,3.616,1.5,0.231,23
11541130,"Milk shake, home recipe, chocolate, light",Milk shakes and other dairy drinks,97,3.99,12.93,12.42,0.3,3.31,2.007,0.907,0.111,14
11541135,"Milk shake, home recipe, flavors other than chocolate, light",Milk shakes and other dairy drinks,92,3.88,13.83,11.07,0.1,2.33,1.408,0.591,0.099,13
11541400,Milk shake with malt,Milk shakes and other dairy drinks,125,3.76,13.64,12.04,0.2,6.11,3.659,1.525,0.276,23
11542100,"Milk shake, fast food, chocolate",Milk shakes and other dairy drinks,150,3.7,20.36,13.39,1.6,6.66,4.044,1.841,0.318,23
11542200,"Milk shake, fast food, flavors other than chocolate",Milk shakes and other dairy drinks,148,3.37,19.59,13.63,0.9,6.52,3.962,1.785,0.316,23
11543000,"Milk shake, bottled, chocolate",Milk shakes and other dairy drinks,150,3.7,20.36,13.39,1.6,6.66,4.044,1.841,0.318,23
11543010,"Milk shake, bottled, flavors other than chocolate",Milk shakes and other dairy drinks,148,3.37,19.59,13.63,0.9,6.52,3.962,1.785,0.316,23
11551050,Licuado or Batido,Smoothies and grain drinks,75,2.33,13.15,11.48,0.6,1.45,0.81,0.295,0.057,6
11553100,"Fruit smoothie, NFS",Smoothies and grain drinks,66,2.32,11.98,8.91,1.1,1.1,0.588,0.243,0.095,4
11553110,"Fruit smoothie, with whole fruit and dairy",Smoothies and grain drinks,66,2.32,11.98,8.91,1.1,1.1,0.588,0.243,0.095,4
11553120,"Fruit smoothie, with whole fruit and dairy, added protein",Smoothies and grain drinks,79,7.35,10.04,7.36,1.1,1.24,0.669,0.268,0.111,5
11553130,"Fruit smoothie juice drink, with dairy",Smoothies and grain drinks,65,0.86,15.05,12.68,0.9,0.14,0.0,0.049,0.052,1
11560000,Chocolate milk drink,Milk shakes and other dairy drinks,49,0.64,10.68,8.68,0.6,0.4,0.31,0.049,0.009,0
11710000,"Infant formula, NFS","Formula, prepared from powder",66,1.38,7.12,7.12,0.0,3.56,1.342,1.304,0.739,1
11710030,"Infant formula, Similac, NFS","Formula, prepared from powder",65,1.37,6.9,6.9,0.0,3.6,1.505,1.078,0.799,2
11710051,"Infant formula, Similac Alimentum, ready-to-feed","Formula, ready-to-feed",67,1.8,6.77,4.4,0.0,3.63,1.838,0.294,1.126,1
11710056,"Infant formula, Similac Alimentum, powder, made with water","Formula, prepared from powder",67,1.8,6.77,4.4,0.0,3.63,1.838,0.294,1.126,1
11710351,"Infant formula, Similac Advance, ready-to-feed","Formula, ready-to-feed",66,1.37,6.87,6.87,0.0,3.62,1.24,1.317,0.803,2
11710357,"Infant formula, Similac Advance, powder, made with tap water","Formula, prepared from powder",66,1.37,6.87,6.87,0.0,3.62,1.24,1.317,0.803,2
11710358,"Infant formula, Similac Advance, powder, made with bottled water","Formula, prepared from powder",66,1.37,6.87,6.87,0.0,3.62,1.24,1.317,0.803,2
11710359,"Infant formula, Similac Advance, powder, made with baby water","Formula, prepared from powder",66,1.37,6.87,6.87,0.0,3.62,1.24,1.317,0.803,2
11710371,"Infant formula, Similac Sensitive, ready-to-feed","Formula, ready-to-feed",65,1.4,6.99,6.99,0.0,3.53,2.298,0.363,0.787,2
11710377,"Infant formula, Similac Sensitive, powder, made with tap water","Formula, prepared from powder",65,1.4,6.99,6.99,0.0,3.53,2.298,0.363,0.787,2
11710378,"Infant formula, Similac Sensitive, powder, made with bottled water","Formula, prepared from powder",65,1.4,6.99,6.99,0.0,3.53,2.298,0.363,0.787,2
11710379,"Infant formula, Similac Sensitive, powder, made with baby water","Formula, prepared from powder",65,1.4,6.99,6.99,0.0,3.53,2.298,0.363,0.787,2
11710381,"Infant formula, Similac for Spit-Up, ready-to-feed","Formula, ready-to-feed",65,1.38,6.9,6.9,0.0,3.48,2.263,0.358,0.781,0
11710383,"Infant formula, Similac for Spit-Up, powder, made with water","Formula, prepared from powder",65,1.38,6.9,6.9,0.0,3.48,2.263,0.358,0.781,0
11710481,"Toddler formula, Similac Go and Grow","Formula, prepared from powder",58,1.73,5.87,5.87,0.0,3.11,1.285,1.15,0.6,0
11710605,"Infant formula, Enfamil, NFS","Formula, prepared from powder",66,1.43,7.36,7.34,0.0,3.49,1.448,1.276,0.671,1
11710631,"Infant formula, Enfamil Infant, ready-to-feed","Formula, ready-to-feed",66,1.4,7.38,7.38,0.0,3.49,1.444,1.292,0.675,0
11710637,"Infant formula, Enfamil Infant, powder, made with tap water","Formula, prepared from powder",66,1.4,7.38,7.38,0.0,3.49,1.444,1.292,0.675,0
11710638,"Infant formula, Enfamil Infant, powder, made with bottled water","Formula, prepared from powder",66,1.4,7.38,7.38,0.0,3.49,1.444,1.292,0.675,0
11710639,"Infant formula, Enfamil Infant, powder, made with baby water","Formula, prepared from powder",66,1.4,7.38,7.38,0.0,3.49,1.444,1.292,0.675,0
11710661,"Infant formula, Enfamil AR, ready-to-feed","Formula, ready-to-feed",65,1.6,7.43,7.25,0.0,3.24,1.359,1.113,0.608,0
11710669,"Infant formula, Enfamil AR, powder, made with water","Formula, prepared from powder",65,1.6,7.43,7.25,0.0,3.24,1.359,1.113,0.608,0
11710671,"Infant formula, Enfamil Gentlease, ready-to-feed","Formula, ready-to-feed",67,1.51,7.31,7.25,0.0,3.49,1.462,1.229,0.66,2
11710677,"Infant formula, Enfamil Gentlease, powder, made with tap water","Formula, prepared from powder",67,1.51,7.31,7.25,0.0,3.49,1.462,1.229,0.66,2
11710678,"Infant formula, Enfamil Gentlease, powder, made with bottled water","Formula, prepared from powder",67,1.51,7.31,7.25,0.0,3.49,1.462,1.229,0.66,2
11710679,"Infant formula, Enfamil Gentlease, powder, made with baby water","Formula, prepared from powder",67,1.51,7.31,7.25,0.0,3.49,1.462,1.229,0.66,2
11710689,"Toddler formula, Enfamil Enfagrow","Formula, prepared from powder",67,1.7,7.0,6.97,0.0,3.52,1.437,1.178,0.647,1
11710801,"Toddler formula, PediaSure","Formula, ready-to-feed",99,2.86,11.15,10.5,0.0,4.77,1.256,1.936,1.068,2
11710807,"Toddler formula, Nido Kinder","Formula, prepared from powder",62,1.72,6.43,6.42,0.0,3.32,1.361,1.164,0.624,0
11710810,"Toddler formula, store brand, beginning or next stage","Formula, prepared from powder",62,1.72,6.43,6.42,0.0,3.32,1.361,1.164,0.624,0
11710815,"Toddler formula, store brand, pediatric shake","Formula, prepared from powder",99,2.86,11.15,10.5,0.0,4.77,1.256,1.936,1.068,2
11710905,"Infant formula, Gerber, NFS","Formula, prepared from powder",65,1.49,7.26,6.9,0.0,3.33,1.403,1.172,0.678,0
11710911,"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed","Formula, ready-to-feed",66,1.45,7.3,7.3,0.0,3.34,1.401,1.216,0.648,0
11710917,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water","Formula, prepared from powder",66,1.45,7.3,7.3,0.0,3.34,1.401,1.216,0.648,0
11710918,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water","Formula, prepared from powder",66,1.45,7.3,7.3,0.0,3.34,1.401,1.216,0.648,0
11710919,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water","Formula, prepared from powder",66,1.45,7.3,7.3,0.0,3.34,1.401,1.216,0.648,0
11710921,"Infant formula, Gerber Good Start Gentle, Stage 2","Formula, prepared from powder",66,1.45,7.3,7.3,0.0,3.34,1.401,1.216,0.648,0
11710930,"Toddler formula, Gerber Good Start, Stage 3","Formula, prepared from powder",62,1.72,6.43,6.42,0.0,3.32,1.361,1.164,0.624,0
11710935,"Infant formula, premature, powder, made with water","Formula, prepared from powder",71,1.96,7.34,7.15,0.0,3.78,2.013,0.858,0.853,2
11710945,"Infant formula, premature, ready-to-feed","Formula, ready-to-feed",71,1.96,7.34,7.15,0.0,3.78,2.013,0.858,0.853,2
11710954,"Infant formula, organic, powder, made with water","Formula, prepared from powder",66,1.38,7.12,7.12,0.0,3.56,1.342,1.304,0.739,1
11710955,"Infant formula, organic, ready-to-feed","Formula, ready-to-feed",66,1.38,7.12,7.12,0.0,3.56,1.342,1.304,0.739,1
11710967,"Infant formula, store brand, advantage or tender, powder, made with tap water","Formula, prepared from powder",66,1.38,7.12,7.12,0.0,3.56,1.342,1.304,0.739,1
11710968,"Infant formula, store brand, advantage or tender, powder, made with bottled water","Formula, prepared from powder",66,1.38,7.12,7.12,0.0,3.56,1.342,1.304,0.739,1
11710969,"Infant formula, store brand, advantage or tender, powder, made with baby water","Formula, prepared from powder",66,1.38,7.12,7.12,0.0,3.56,1.342,1.304,0.739,1
11710970,"Infant formula, store brand, gentle or sensitivity","Formula, prepared from powder",66,1.46,7.15,7.12,0.0,3.51,1.88,0.796,0.724,2
11710980,"Infant formula, store brand, added rice","Formula, prepared from powder",65,1.49,7.17,7.08,0.0,3.36,1.811,0.736,0.694,0
11720311,"Infant formula, Enfamil ProSobee, ready-to-feed","Formula, ready-to-feed",66,1.64,7.07,6.86,0.0,3.49,1.462,1.204,0.66,0
11720317,"Infant formula, Enfamil ProSobee, powder, made with tap water","Formula, prepared from powder",66,1.64,7.07,6.86,0.0,3.49,1.462,1.204,0.66,0
11720318,"Infant formula, Enfamil ProSobee, powder, made with bottled water","Formula, prepared from powder",66,1.64,7.07,6.86,0.0,3.49,1.462,1.204,0.66,0
11720319,"Infant formula, Enfamil ProSobee, powder, made with baby water","Formula, prepared from powder",66,1.64,7.07,6.86,0.0,3.49,1.462,1.204,0.66,0
11720411,"Infant formula, Similac Isomil Soy, ready-to-feed","Formula, ready-to-feed",65,1.58,6.73,6.65,0.0,3.53,1.151,1.353,0.827,0
11720417,"Infant formula, Similac Isomil Soy, powder, made with tap water","Formula, prepared from powder",65,1.58,6.73,6.65,0.0,3.53,1.151,1.353,0.827,0
11720418,"Infant formula, Similac Isomil Soy, powder, made with bottled water","Formula, prepared from powder",65,1.58,6.73,6.65,0.0,3.53,1.151,1.353,0.827,0
11720419,"Infant formula, Similac Isomil Soy, powder, made with baby water","Formula, prepared from powder",65,1.58,6.73,6.65,0.0,3.53,1.151,1.353,0.827,0
11720430,"Infant formula, Similac for Diarrhea","Formula, ready-to-feed",66,1.76,6.67,6.66,0.7,3.6,1.477,1.293,0.685,0
11720611,"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed","Formula, ready-to-feed",64,1.6,7.12,5.69,0.0,3.28,1.409,1.038,0.769,1
11720617,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water","Formula, prepared from powder",64,1.6,7.12,5.69,0.0,3.28,1.409,1.038,0.769,1
11720618,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water","Formula, prepared from powder",64,1.6,7.12,5.69,0.0,3.28,1.409,1.038,0.769,1
